"name","start_time","duration","runners","id"
"1001 Spikes","2017-07-05 17:31:00","00:23:40","doubletaco",91
"ActRaiser","2017-07-03 11:34:00","01:01:12","Straevaras",47
"Alex Kidd in Shinobi World","2017-07-05 13:43:00","00:07:42","berlindude1",86
"Alwa's Awakening","2017-07-07 11:51:00","00:41:12","InfestedRiche",112
"Ape Escape","2017-07-03 16:57:00","01:28:30","Eednob",53
"Assault Android Cactus","2017-07-03 08:10:00","00:50:19","MrBond, TucanSam",43
"Astal","2017-07-04 08:48:00","00:23:20","Gyre",63
"Avenging Spirit","2017-07-07 16:13:08","00:09:27","johncarls",119
"Azure Striker Gunvolt 2","2017-07-02 20:54:00","00:52:48","johncarls",36
"Banjo-Kazooie","2017-07-04 19:15:42","02:04:51","Stivitybobo",5
"Battle Kid","2017-07-02 22:09:00","00:50:00","InfestedRiche",72
"Battle Kid: Fortress of Peril","2017-07-02 22:19:00","00:41:46","InfestedRiche",1
"Bionic Commando Rearmed","2017-07-06 21:37:59","00:39:21","PJ",103
"Bleed 2","2017-07-06 11:33:00","00:29:20","Studio",22
"Brothers: A Tale of Two Sons","2017-07-04 17:44:20","01:16:22","otdq",4
"Bucky O'Hare","2017-07-05 15:07:00","00:28:26","Garrison",88
"Castle of Illusion Starring Mickey Mouse","2017-07-03 14:11:00","00:18:52","darbian",50
"Castlevania III: Dracula's Curse","2017-07-05 16:08:00","00:31:54","Chelney",13
"Castlevania: Legacy of Darkness","2017-07-04 05:28:00","00:43:07","SluckySeven",62
"Castlevania: Rondo of Blood","2017-07-05 16:57:00","00:23:01","Just_defend",90
"Castlevania: Symphony of the Night","2017-07-03 03:26:00","00:32:59","Dr4gonBlitz",40
"Chrono Trigger","2017-07-06 22:33:59","03:03:35","puwexil",104
"Clustertruck","2017-07-04 10:06:00","00:26:43","097Aceofspades",65
"Crash Bandicoot","2017-07-03 14:41:00","00:41:58","WhitePaaws",51
"Crypt of the NecroDancer: AMPLIFIED","2017-07-07 10:11:00","00:06:29","SpootyBiscuit, mudjoe2",110
"Dark Souls","2017-07-08 19:57:00","00:29:05","BubblesDelFuego",97643
"Dark Souls III","2017-07-08 18:08:00","01:27:47","ThorW",99818
"Defunct","2017-07-04 10:44:00","00:18:51","Grimelios, Celestics",66
"Diablo 2: Lord of Destruction","2017-07-08 16:02:00","01:42:22","MrLlamaSC",132
"Diddy Kong Racing","2017-07-02 23:14:00","00:44:59","MrsGizamaluke",37
"Dishonored 2","2017-07-05 02:09:34","00:35:14","Blood_Thunder",80
"Divinity: Original Sin","2017-07-06 07:34:00","00:23:47","Shaddex, DrTChops",97
"Donkey Kong 64","2017-07-04 02:56:00","02:10:41","Kiwikiller67",61
"Doom (2016)","2017-07-05 03:06:35","01:18:35","TheFuncannon",81
"Earthbound","2017-07-09 05:01:19","04:27:53","UltimoIce",137
"E.V.O.: Search for Eden","2017-07-03 12:45:00","00:51:06","Darkwing Duck",48
"Final Fantasy VII","2017-07-08 05:00:00","07:48:04","ajneb174",127
"Freedom Planet","2017-07-03 20:20:00","00:44:19","Fladervy",55
"Ghosts'n Demons","2017-07-06 10:19:00","00:21:10","Aquas",21
"G.I. Joe: The Atlantis Factor","2017-07-05 15:51:00","00:09:52","Toad22484",12
"Guacamelee: Gold Edition","2017-07-03 04:00:00","01:22:00","Grimelios",73
"Guacamelee! Gold Edition","2017-07-03 04:17:00","01:15:33","Grimelios",2
"Half-Life","2017-07-05 01:21:26","00:36:08","alexh0we",79
