0,Super Mario Sunshine,Bounceyboy,Wii,2002-07-19,83.0
1,The Legend of Zelda: A Link Between Worlds,Ahamplan,3DS,2013-11-22,95.0
2,Demon's Souls,saintmillion,PS3,2009-10-06,75.0
3,Bastion,Vulajin,PC,2011-07-20,20.0
4,Mighty Switch Force! HyperDrive Edition,"TonyOgbot, iongravirei",PC,2011-12-22,35.0
5,Donkey Kong Country: Tropical Freeze,"Kruncha, NotSoNewby, Enkaybee, michael_goldfish, MooMooAkai, spikevegeta",Wii U,2014-02-13,95.0
6,Metroid Prime,JustinDM,Wii,2002-11-18,83.0
7,Catherine,Ghoul02,PS3,2011-02-17,35.0
8,New Super Mario Bros. 2,EeveeSpirit,3DS,2012-07-28,32.0
9,Mario Kart: Double Dash!!,druvan7,Gamecube,2003-11-18,38.0
10,FAST Racing NEO,TonesBalones,Wii U,2015-12-10,35.0
11,Crash Team Racing,Almarkowbender,PS2,1999-09-30,60.0
12,1080 Avalanche,Thursday,Gamecube,2003-11-28,34.0
13,Tony Hawk's Underground,Fog,PC,2003-10-28,45.0
14,The Rapid Angel,CavemanDCJ,PSTV,2011-07-05,24.0
15,Crystal's Pony Tale,SecksWrecks,Genesis,1994-12-31,15.0
16,"Ed, Edd, 'n Eddy: The Mis-Edventures",Konasumi,Gamecube,2005-11-03,35.0
17,Harry Potter and the Chamber of Secrets,pok3monrocks,PC,2002-11-14,60.0
18,Barbie Game Girl,johncarls,Gameboy,1992-10-30,12.0
19,Speedy Gonzales: Los Gatos Bandidos,Keverage,SNES,1995-08-31,29.0
20,The Flintstones: The Surprise at Dinosaur Peak!,Prince_Leaf,NES,1994-08-31,20.0
21,The Land Before Time,CardsOfTheHeart,GBA,2001-07-14,15.0
22,The Incredible Crash Dummies,DarkTerrex,NES,1992-11-30,21.0
23,The Goonies II,"Dragondarch, Darkwing Duck",NES,1987-11-30,20.0
24,Claymates,error72,SNES,1993-11-20,45.0
25,ActRaiser,Straevaras,SNES,1991-11-01,32.0
26,Sparkster,Ivan,SNES,1994-09-15,30.0
27,Hagane,Omnigamer,SNES,1994-11-18,20.0
28,Skyblazer,Omnigamer,SNES,1994-01-31,30.0
29,Mega Man 8,soothingplumtea,Saturn,1996-12-17,55.0
30,Mega Man 3,"fastatcc, Chelney",NES,1992-12-31,40.0
31,Mega Man 5,almondcity,NES,1992-12-02,39.0
32,Mighty Gunvolt,Trogdor,PC,2014-08-20,20.0
33,Ape Escape,Hornlitz,PS2,1999-06-18,51.0
34,Spyro: Year of the Dragon,"wedc517, orsa",PS2,2000-10-23,35.0
35,Ratchet & Clank,Raikaru,PS3,2002-11-05,51.0
36,The Legend of Zelda: Link's Awakening DX,zorlaxseven,Gamecube,1998-10-31,90.0
37,The Legend of Zelda: Four Swords Adventures,Zmaster91,Wii,2004-06-07,140.0
38,BioShock,Blood_Thunder,PC,2007-08-21,50.0
39,Dishonored,DrTChops,PC,2012-10-09,40.0
40,Wolfenstein: The New Order,Blood_Thunder,PC,2014-05-20,105.0
41,Amnesia: The Dark Descent,SavageDreamLord,PC,2010-09-08,60.0
43,Klonoa: Door to Phantomile,CavemanDCJ,PS2,1997-12-11,55.0
44,Tom Clancy's Splinter Cell: Blacklist,"Studio, iongravirei",PC,2013-08-20,50.0
46,Oddworld Abe's Oddysee: New'n' Tasty,Starwin,PS4,2014-07-22,75.0
47,Oddworld: Stranger's Wrath,Vaati,Xbox,2005-01-25,55.0
48,Curse of Issyos,"pcull44444, Mr_Weables",PC,2015-10-15,18.0
49,Castlevania 64,ty2358,N64,1999-01-26,55.0
