"name","start_time","duration","runners"
"BONUS: Kirby Tilt 'n' Tumble","2017-01-09 20:35:00","00:15:10","Theguesst"
"Super Metroid Rotation","2017-01-10 17:19:46","00:44:33","Feral5x"
"The Krion Conquest","2017-01-11 08:48:00","00:19:12","badbrakes"
"Street Fighter 2010: The Final Fight","2017-01-11 09:14:00","00:19:01","Spiriax"
"River City Ransom","2017-01-11 09:41:00","00:07:44","yelsraek"
"Moon Crystal","2017-01-11 09:58:00","00:18:47","jimmypoopins"
"Little Samson","2017-01-11 10:24:00","00:20:41","Xdragon"
"The Addams Family","2017-01-11 10:52:00","00:05:52","garbanzoguy"
"JumpJet Rex","2017-01-11 14:26:00","00:20:00","PvtCb"
"Yume Penguin Monogatari","2017-01-11 11:04:00","00:10:06","Endy"
"Gremlins 2","2017-01-11 11:23:00","00:06:24","Endy"
"Trojan","2017-01-11 11:35:00","00:07:04","InfestedRiche"
"Shinobi III: Return of the Ninja Master","2017-01-11 11:57:00","00:25:51","Keaur"
"Bishi Bashi Special","2017-01-11 12:32:00","00:13:33","T3tsuya"
"Crowtel","2017-01-11 12:56:00","00:12:41","theboyks"
"Blitz Breaker","2017-01-11 13:44:00","00:24:47","giygasblues"
"Secrets Of Grindea","2017-01-11 14:28:00","00:20:29","Ivan, Mr_Weables"
"Hyper Light Drifter","2017-01-11 15:25:00","00:33:16","MunchaKoopas"
"Ori and the Blind Forest: Definitive Edition","2017-01-11 16:09:00","00:55:35","Vulajin, sigma"
"BONUS: Castlevania: Symphony of the Night","2017-01-11 17:23:00","00:27:26","Mecha Richter"
"Castlevania","2017-01-11 18:11:00","00:12:55","Cantaloupeme, Komrade"
"Super Castlevania IV","2017-01-11 18:44:00","00:32:39","Furious Paul, JoeDamillio"
"Mega Man 6","2017-01-11 20:18:00","00:36:20","Ppotdot1"
"BONUS: Sonic Adventure DX: Directors Cut","2017-01-12 20:38:59","00:07:03","JerKro"
"Contra III: The Alien Wars","2017-01-13 17:42:00","00:06:56","Mr. K"
"Sly Cooper and the Thievius Raccoonus","2017-01-13 20:34:56","01:01:04","tHmCS"
"Jak and Daxter: The Precursor Legacy","2017-01-13 21:56:00","00:25:35","headstrong1290"
"Ratchet & Clank: Going Commando","2017-01-13 22:31:35","00:30:16","Xem, Skitz"
"Kirby Super Star","2017-01-13 23:30:35","01:18:17","Countdown42, usedpizza, zzzhonki, suzuribaco"
"Not Another Needle Game","2017-01-14 01:01:35","00:38:15","Stinkycheeseone890"
"Donkey Kong Country Trilogy Relay","2017-01-14 02:18:35","02:12:16","Eazinn, V0oid, Nocturne_, Fathlo23, Silent Wolf, Supreme, Kanis999, waffle42, suzuribaco"
"Grand Theft Auto: Vice City","2017-01-14 04:51:35","00:56:11","KZ_FREW"
"Super Mario 3D Land","2017-01-14 06:10:35","00:56:20","Kosmicd12"
"The Legend of Zelda: The Minish Cap","2017-01-14 07:21:35","01:54:48","DbX"
"Fire Emblem: Blazing Sword","2017-01-14 09:29:35","01:21:28","Kirbymastah"
"Disney's Extreme Skate Adventure","2017-01-14 11:02:35","00:16:31","Six"
"Pitfall: the Mayan Adventure","2017-01-14 11:29:35","00:10:59","Le Hulk"
"Tiny Toon Adventures","2017-01-14 11:51:35","00:13:35","garadas21"
"Tom and Jerry","2017-01-14 12:14:35","00:14:27","R3DninjaJOSH"
"Darkwing Duck","2017-01-14 12:40:35","00:13:42","TheMexicanRunner"
"SpongeBob SquarePants: Battle for Bikini Bottom","2017-01-14 13:09:35","01:02:22","SHiFT"
"Pac-Man World","2017-01-10 11:59:46","00:39:11","Joester98"
"Mega Man Legends","2017-01-10 12:51:46","00:51:57","BlueMetal"
"Katamari Damacy","2017-01-10 13:54:46","00:31:53","sunkir"
"Super Smash Bros. Melee","2017-01-10 14:41:46","00:37:42","Fuzzyness"
"Metroid Prime 2: Echoes","2017-01-10 15:28:46","01:40:38","Miles"
"Dark Messiah of Might and Magic","2017-01-10 18:31:46","00:34:23","Razgrillz"
"Fallout: New Vegas","2017-01-10 19:14:46","00:24:00","progamingwithed"
