"name","category","start_time","duration","runners","id","host"
"007: Agent Under Fire","Any% — Gamecube","2018-01-09 05:44:10","00:44:12","Mr_Shasta",22378,"KrunchyLex"
"Animorphs: Shattered Reality","any% — PSX","2018-01-11 09:04:00","00:40:13","Keizaron",14786,
"Arabian Nights","any% — PC","2018-01-11 07:00:02","00:47:17","Kotti",14783,
"Armed With Wings: Rearmed","Any% NG+ (one-handed) — PC","2018-01-12 07:25:28","00:12:48","halfcoordinated",14818,
"Athena","Any% race — NES","2018-01-11 13:16:00","00:23:05","Dragondarch, Brossentia",14796,
"Baldur's Gate 2: Enhanced Edition","any% — PC","2018-01-13 18:08:00","00:24:31","KowalLazy",14842,
"Batman: Arkham Asylum","Any% — PC","2018-01-08 03:45:00","01:20:49","cojosao",14710,
"Batman: The Video Game","Any% Race — NES","2018-01-10 14:20:04","00:10:18","dxtr, EndySWE",14767,
"BattleBlock Theater","Any% No Level Skips — PC","2018-01-08 08:15:00","01:18:57","GameguySD",14713,
"Battletoads","Any% Warpless — NES","2018-01-10 17:51:00","00:29:04","TheMexicanRunner",14774,
"Battletoads Arcade","Max Difficulty bid war — Arcade","2018-01-10 16:58:04","00:40:35","PJ",14773,
"Blaster Master Zero","Any% vs EX Character Any% — Switch","2018-01-08 02:50:00","00:44:08","Skavenger216",14709,
"Bloodborne","All Bosses — PS4","2018-01-13 20:28:00","01:37:49","heyZeusHeresToast",14843,
"Blood II: The Chosen","Any% Caleb vs. Ophelia bid war — PC","2018-01-10 08:13:27","00:29:44","Cubeface",22548,"Gen Doukeshi"
"Bubsy II","any% East Wing — Genesis","2018-01-11 10:23:00","00:17:36","garbanzcurity",14788,
"Burnout Paradise","BSI 100% — PS3","2018-01-09 06:51:10","01:09:18","espumbrajolt",14735,
"Castlevania: Harmony of Dissonance","Maxim All Bosses — GBA","2018-01-09 15:41:00","00:15:53","VB__",14746,
"Castlevania: Symphony of the Night","Zero Bosses — Xbox 360","2018-01-09 16:10:00","00:28:56","Dr4gonBlitz",14747,
"Cat Quest","Any% — PC","2018-01-12 10:14:00","00:34:48","SNeaky",14821,
"Chip 'N Dale: Rescue Rangers","any% race — NES","2018-01-10 14:41:04","00:10:31","EndySWE, angrylanks",14768,
"Cloudbuilt","Full Game Defiance — PC","2018-01-12 09:10:00","00:48:57","Wobs23",14820,
"Contra","Any% Coop — NES","2018-01-08 12:22:00","00:09:58","TheMexicanRunner, angrylanks",14718,
"Contra III: The Alien Wars","Low% Hard — SNES","2018-01-08 12:42:00","00:23:29","Aquas",14719,
"Crash Bandicoot N. Sane Trilogy","Crash Bandicoot 3: Warped - Any% — PS4","2018-01-07 17:02:00","00:59:15","JHobz",14701,
"Dark Souls 3","Any% No Teardrop — PC","2018-01-13 18:52:00","01:01:45","SayviTV",146822,"Sumichu"
"Deadly Towers","Any% — NES","2018-01-11 13:50:00","00:34:26","Dragondarch",14797,
"Densha de D: Lightning Stage","Any% — PC","2018-01-12 10:59:00","00:23:38","Konasumi",14822,
"Diablo","Any% Level 1 Sorcerer — PC","2018-01-13 17:18:00","00:34:17","Funkmastermp",146972,"Musical_Daredevil"
"Dishonored","All Collectibles — PC","2018-01-11 19:53:00","00:47:22","DrTChops",14805,
"Disney's Aladdin","100% — SNES","2018-01-08 14:27:00","00:17:37","Le Hulk",38245,"LLK"
"Disney's Toy Story","any% SNES — SNES","2018-01-10 10:27:00","00:22:17","JermRo",14759,
"Dog's Life","Any% — PS2","2018-01-11 08:24:00","00:19:44","ThaRixer",14785,
"Donkey Kong Country","Reverse Boss Order — SNES","2018-01-08 16:49:00","00:46:11","V0oid",37804,"YoBGS"
"Donkey Kong Country 2: Diddy's Kong Quest","Any% (Warpless) Race — SNES","2018-01-08 15:35:00","00:54:12","V0oid, waffle42",22368,"YoBGS"
"Dragon Warrior","any% — NES","2018-01-10 18:41:00","00:27:19","NESCardinality",14775,
"Duke Nukem 3D","Any% — PC","2018-01-11 21:33:00","00:08:57","Mr_Wiggelz",14807,
"DYE","Any% No Hard Mode — PC","2018-01-09 10:10:00","00:42:46","TGH",14739,
"Dying Light","Any% Co-op — PC","2018-01-10 02:05:00","01:32:02","TheFuncannon, Amyrlinn",14753,
"Dynamite Headdy","any% — Genesis","2018-01-09 13:37:00","00:39:51","chronoon",14743,
"Earnest Evans","any% — Genesis","2018-01-11 11:07:00","00:09:48","Mike Uyama",14790,
"El Matador","Any% — PC","2018-01-09 09:08:00","00:23:02","DrTChops",14737,
"Enviro-Bear 2000","5-Year Relay — PC","2018-01-11 08:04:19","00:08:50","Zic3, SNeaky, Scrublord, IRLAnimeBoi",14784,
"Environmental Station Alpha","Any% (in-bounds) — PC","2018-01-08 09:48:00","00:26:35","R3DninjaJOSH",14714,
"Final Fantasy IV","any% no CW — SNES","2018-01-13 22:24:00","02:03:27","riversmccown",14844,
