"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2018-01-14 12:57:00+00",,9,11,2,44456,2263163.19
"2018-01-14 12:56:00+00",,18,6,8,44456,2263163.19
"2018-01-14 12:55:00+00",,16,7,8,44456,2263163.19
"2018-01-14 12:54:00+00",,17,6,3,44456,2263163.19
"2018-01-14 12:53:00+00",,15,5,0,44456,2263163.19
"2018-01-14 12:52:00+00",,16,4,0,44456,2263163.19
"2018-01-14 12:51:00+00",,10,5,0,44456,2263163.19
"2018-01-14 12:50:00+00",,6,9,0,44456,2263163.19
"2018-01-14 12:49:00+00",,14,6,1,44456,2263163.19
"2018-01-14 12:48:00+00",,18,3,0,44456,2263163.19
"2018-01-14 12:47:00+00",,17,9,2,44456,2263163.19
"2018-01-14 12:46:00+00",,15,12,0,44456,2263163.19
"2018-01-14 12:45:00+00",,8,12,3,44456,2263163.19
"2018-01-14 12:44:00+00",,10,7,48,44456,2263163.19
"2018-01-14 12:43:00+00",,13,18,33,44456,2263163.19
"2018-01-14 12:42:00+00",,13,9,0,44456,2263163.19
"2018-01-14 12:41:00+00",,14,11,0,44456,2263163.19
"2018-01-14 12:40:00+00",,17,11,0,44456,2263163.19
"2018-01-14 12:39:00+00",,17,14,23,44456,2263163.19
"2018-01-14 12:38:00+00",,10,14,18,44456,2263163.19
"2018-01-14 12:37:00+00",,11,13,4,44456,2263163.19
"2018-01-14 12:36:00+00",,19,10,1,44456,2263163.19
"2018-01-14 12:35:00+00",,27,17,1,44456,2263163.19
"2018-01-14 12:34:00+00",,12,15,3,44456,2263163.19
"2018-01-14 12:33:00+00",,8,12,1,44456,2263163.19
"2018-01-14 12:32:00+00",,10,12,0,44456,2263163.19
"2018-01-14 12:31:00+00",,9,16,2,44456,2263163.19
"2018-01-14 12:30:00+00",,17,14,0,44456,2263163.19
"2018-01-14 12:29:00+00",,7,13,0,44456,2263163.19
"2018-01-14 12:28:00+00",,16,11,0,44456,2263163.19
"2018-01-14 12:27:00+00",,12,7,1,44456,2263163.19
"2018-01-14 12:26:00+00",,17,12,4,44455,2263153.19
"2018-01-14 12:25:00+00",,14,11,3,44454,2263143.19
"2018-01-14 12:24:00+00",,15,17,6,44454,2263143.19
"2018-01-14 12:23:00+00",,22,21,3,44454,2263143.19
"2018-01-14 12:22:00+00",,14,13,6,44454,2263143.19
"2018-01-14 12:21:00+00",,12,15,3,44454,2263143.19
"2018-01-14 12:20:00+00",,13,9,1,44454,2263143.19
"2018-01-14 12:19:00+00",,12,16,1,44454,2263143.19
"2018-01-14 12:18:00+00",,17,22,2,44454,2263143.19
"2018-01-14 12:17:00+00",,19,16,5,44454,2263143.19
"2018-01-14 12:16:00+00",,23,17,2,44454,2263143.19
"2018-01-14 12:15:00+00",,22,14,4,44453,2263138.19
"2018-01-14 12:14:00+00",,15,17,5,44453,2263138.19
"2018-01-14 12:13:00+00",,19,18,2,44453,2263138.19
"2018-01-14 12:12:00+00",,17,20,3,44453,2263138.19
"2018-01-14 12:11:00+00",,17,23,3,44452,2263128.19
"2018-01-14 12:10:00+00",,15,21,6,44451,2263093.19
"2018-01-14 12:09:00+00",,13,25,2,44451,2263093.19
"2018-01-14 12:08:00+00",,15,11,2,44451,2263093.19
"2018-01-14 12:07:00+00",,15,14,3,44451,2263093.19
"2018-01-14 12:06:00+00",,22,13,3,44451,2263093.19
