"name","category","start_time","duration","runners","host","id"
"Mega Man X2","Buster-only — SNES","2018-06-26 02:52:28","00:43:58","darrenville","Mike Uyama",48949
"Sonic 3 and Knuckles","Sonic any% — Genesis","2018-06-26 22:24:00","00:45:22","mike89","Lizstar",64258
"Super Monkey Ball 2: Monkeyed Ball","Story Mode All Levels Race — Wii","2018-06-27 15:56:00","00:26:10","Yutori, Geoff","Sooraya",82917
"Thief: The Dark Project","Any% Normal OldDark — PC","2018-06-27 20:38:00","00:33:23","Psych0sis","CovertMuffin",87842
"Super Mario 3D Land","warpless — 3DS","2018-06-28 01:17:00","01:06:14","zeldacubed1","YellowKillerBee",79
"Cuphead","100% (Regular, Legacy) — PC","2018-06-28 02:48:00","00:50:14","TheMexicanRunner","YellowKillerBee",93508
"A Hat in Time","Any% Race — PC","2018-06-28 04:07:43","00:55:06","flarebear, ConnorAce","Mike Uyama",81
"Celeste","Any% race — PC","2018-06-28 05:45:54","00:36:26","TGH, yoshipro","Mike Uyama",82
"Pepsiman","Cutscene% — PSX","2018-06-28 06:53:36","00:25:48","theboyks","Mike Uyama",94703
"Getting Over It with Bennett Foddy","Glitchless% — PC","2018-06-28 07:32:12","00:02:43","MONTYvsTHEWORLD","FrenchToast",83
"Miner Ultra Adventures","Any% — PC","2018-06-28 07:49:17","00:09:04","Konasumi","FrenchToast",84
"Roundabout","ESports Speedrun Mode — PC","2018-06-28 08:11:00","00:12:12","GNU Order","FrenchToast",85
"Stilt Fella","Any% — PC","2018-06-28 08:43:00","00:09:19","PHatHome666","FrenchToast",87
"Club Drive","All Races (2 Laps) — Jaguar","2018-06-28 09:14:00","00:10:05","PeteDorr","FrenchToast",88
"Bio Miracle Bokutte Upa","Normal Difficulty — Famicom","2018-06-28 09:34:00","00:27:19","EnchantressOfNumbers","Calyrica",89
"Yo! Noid 2","Any% — PC","2018-06-28 10:12:00","00:13:15","AlucardX60","Calyrica",90
"Jungle King Tar-chan: World Tour Rumble","Any% — SNES","2018-06-28 10:36:00","00:23:40","Aweglib","Calyrica",91
"Pac-Man 2: The New Adventures","any% — Genesis","2018-06-28 11:08:00","00:24:15","PARTY MAN X","Calyrica",92
"Silver Grapple","any% good ending — PC","2018-06-28 11:41:00","00:13:54","Ivan","LLK",93
"Gift","any% — PC","2018-06-28 12:03:00","00:05:50","SecksWrecks","LLK",94
"El Viento","any% — Genesis","2018-06-28 12:19:00","00:15:29","belthegor","LLK",95
"Xeodrifter","Any% — PC","2018-06-28 12:45:00","00:15:51","JBuzzyBee","Protomagicalgirl",96
"Titan Souls","Hard Mode 100% — PS4","2018-06-28 13:10:00","00:23:10","Zic3","Protomagicalgirl",97
"A Story About my Uncle","any% No Fling — PC","2018-06-28 13:40:00","00:32:34","TheRealVincentio","Protomagicalgirl",98
"Strider","any% race — NES","2018-06-28 14:36:00","00:04:10","NME, Elipsis, Mr Magnificent","Protomagicalgirl",99
"The Legend of Zelda","low% Race — NES","2018-06-28 14:56:00","00:36:20","LackAttack24, beeteas, Eunos","Sooraya",100
"The Legend of Zelda: Oracle of Seasons","Any% — GBC","2018-06-28 16:23:00","01:56:56","mghtymth","Sooraya",101
"Paper Mario","Any% — Wii U VC","2018-06-28 18:36:00","01:54:09","imglower","MapleSR",102
"DeadCore","NWNM NG (No Wall Clips No Mega Jumps New Game) — PC","2018-06-28 21:14:00","00:16:39","imawakka","Agama",103
"Deus Ex","any% — PC","2018-06-28 21:47:00","00:45:08","Heinki","Agama",104
"Deus Ex Mankind Divided","any% — PC","2018-06-28 22:37:00","00:48:41","Heinki","Agama",105
"Prey (2017)","No OoB — PC","2018-06-28 23:59:00","00:44:30","LifeL1ke","theboyks",106
"Gunstar Super Heroes","Hard Red — GBA","2018-06-25 10:09:00","00:21:52","danray","Agama",18
"Gauntlet Legends","any% — N64","2018-06-25 10:46:00","01:00:42","Boyo003","Agama",19
"Dungeon Magic","any% (Gren) — Xbox","2018-06-25 11:58:00","00:15:44","iast","TokyoScarab",20
"Super Smash TV","Any % Normal 2 Player — SNES","2018-06-25 12:30:00","00:36:50","brisulph, JackimusWedge","TokyoScarab",21
"Hagane: The Final Conflict","Any% — SNES","2018-06-25 13:15:00","00:16:16","Epic","TokyoScarab",22
"Animaniacs","Any% — SNES","2018-06-25 13:37:00","00:23:28","Epic","TokyoScarab",23
"Ardy Lightfoot","any% — SNES","2018-06-25 14:06:00","00:23:32","giygasblues","Lizstar",24
"Cool Spot","any% easy — SNES","2018-06-25 14:39:00","00:10:37","GlitchCat7","Lizstar",25
"Sparkster","Normal — SNES","2018-06-25 14:56:00","00:19:11","Drakodan","Lizstar",26
"Rocket Knight Adventures","any% (Easy) — Genesis","2018-06-25 15:24:00","00:28:08","d4gr0n","Lizstar",27
"Disgaea 5: Alliance of Vengeance","New Game Any% (No DLC) — Switch","2018-06-25 16:15:00","01:16:31","GreenZSaber","MapleSR",28
"Pikmin 3","Any% — Wii U","2018-06-25 17:54:00","00:57:06","360Chrism","MapleSR",29
"Soft Body","Soft Game — PC","2018-06-25 19:22:00","00:30:06","v_input_output","CovertMuffin",30
"Monolith","5-Stage, Normal, Intense Lethality — PC","2018-06-25 20:04:00","00:11:53","Studio","CovertMuffin",31
"Master Spy","Any% (Optional Developer Commentary) — PC","2018-06-25 20:27:00","00:20:33","Obidobi","CovertMuffin",32
"Enter The Gungeon","1 Character — PC","2018-06-25 21:03:00","00:18:08","teddyras","DarkTwinge",33
"Dustforce DX","Any% All Levels (NG+) Race — PC","2018-06-25 22:00:00","00:35:58","fishmcmuffins, Freshmaniac","DarkTwinge",34
"Axiom Verge","any% — PC","2018-06-25 22:57:00","00:39:50","GVirus","DarkTwinge",35
"Mega Man 6","Any% — NES","2018-06-26 00:08:00","00:35:53","DarkTerrex, Chelney, Ppotdot1","Mike Uyama",36
"Mega Man 9","Any% (Proto Man) — Wii","2018-06-26 00:57:00","00:32:50","The Blacktastic","Mike Uyama",37
"Mega Man Zero 4","any% — GBA","2018-06-26 01:42:30","00:48:39","Nu_","Mike Uyama",38
"Rise of the Tomb Raider","any% — PC","2018-06-26 03:45:00","01:22:40","Studio","CovertMuffin",39
"Tomb Raider","any% glitched — PC","2018-06-26 05:31:00","01:13:56","Beckski93","CovertMuffin",40
"Resident Evil HD Remaster","New Game 100% (Best Ending) — PC","2018-06-26 06:57:00","01:31:00","Pessimism","FrenchToast",41
"F.E.A.R.","Any% — PC","2018-06-26 08:42:00","01:03:24","Maxylobes","FrenchToast",42
"Penumbra: Overture","Any% QSA — PC","2018-06-26 09:55:00","00:14:14","Blood_Thunder","AnEternalEnigma",43
"Amy","Amy% — PS3","2018-06-26 10:24:00","00:41:45","FoldableHuman","AnEternalEnigma",44
"Pet the Pup at the Party","10 Pups — PC","2018-06-26 11:19:00","00:05:48","Bullets","LLK",45
"FreezeMe","25 Cubes — PC","2018-06-26 11:33:00","00:53:59","Mildew","LLK",46
"Legend of Kay Anniversary","Any% — PS4","2018-06-26 12:33:00","00:31:02","DarkTerrex","LLK",47
"The Simpsons: Hit & Run","All Story Missions — PC","2018-06-26 13:14:00","01:45:45","Sadlybadlyy","MisterGameandShout",48
"Bonk's Revenge","Expert — TG-16","2018-06-26 15:15:00","00:27:22","lattmackey","Yen24",49
"Splatterhouse","any% — TG-16","2018-06-27 12:33:00","00:13:31","zallard1","Yen24",50
"Banjo-Tooie","Any% — N64","2018-06-24 17:04:00","00:44:47","GarageDoorOpener","YellowKillerBee",1
