"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2019-06-30 14:25:00+00",,6,0,0,50906,3005738.87
"2019-06-30 14:24:00+00",,9,0,0,50906,3005738.87
"2019-06-30 14:23:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:22:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:21:00+00",,15,0,0,50906,3005738.87
"2019-06-30 14:20:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:19:00+00",,7,0,0,50906,3005738.87
"2019-06-30 14:18:00+00",,12,0,0,50906,3005738.87
"2019-06-30 14:17:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:16:00+00",,12,0,0,50906,3005738.87
"2019-06-30 14:15:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:14:00+00",,13,0,0,50906,3005738.87
"2019-06-30 14:13:00+00",,17,1,0,50906,3005738.87
"2019-06-30 14:12:00+00",,17,0,0,50906,3005738.87
"2019-06-30 14:11:00+00",,8,1,3,50906,3005738.87
"2019-06-30 14:10:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:09:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:08:00+00",,12,1,0,50906,3005738.87
"2019-06-30 14:07:00+00",,15,1,1,50906,3005738.87
"2019-06-30 14:06:00+00",,10,0,0,50906,3005738.87
"2019-06-30 14:05:00+00",,9,3,0,50906,3005738.87
"2019-06-30 14:04:00+00",,9,1,0,50906,3005738.87
"2019-06-30 14:03:00+00",,6,0,0,50906,3005738.87
"2019-06-30 14:02:00+00",,9,0,0,50906,3005738.87
"2019-06-30 14:01:00+00",,6,0,0,50906,3005738.87
"2019-06-30 14:00:00+00",,11,0,0,50906,3005738.87
"2019-06-30 13:59:00+00",,12,1,0,50906,3005738.87
"2019-06-30 13:58:00+00",,14,1,0,50906,3005738.87
"2019-06-30 13:57:00+00",,7,0,0,50906,3005738.87
"2019-06-30 13:56:00+00",,9,0,0,50906,3005738.87
"2019-06-30 13:55:00+00",,7,0,0,50906,3005738.87
"2019-06-30 13:54:00+00",,7,0,0,50906,3005738.87
"2019-06-30 13:53:00+00",,15,0,0,50906,3005738.87
"2019-06-30 13:52:00+00",,12,0,0,50906,3005738.87
"2019-06-30 13:51:00+00",,7,0,0,50906,3005738.87
"2019-06-30 13:50:00+00",,11,1,0,50906,3005738.87
"2019-06-30 13:49:00+00",,11,0,0,50904,3005663.87
"2019-06-30 13:48:00+00",,13,0,0,50904,3005663.87
"2019-06-30 13:47:00+00",,16,0,0,50904,3005663.87
"2019-06-30 13:46:00+00",,10,0,0,50904,3005663.87
"2019-06-30 13:45:00+00",,18,0,0,50904,3005663.87
"2019-06-30 13:44:00+00",,8,0,0,50904,3005663.87
"2019-06-30 13:43:00+00",,7,0,0,50903,3005628.87
"2019-06-30 13:42:00+00",,8,0,0,50903,3005628.87
"2019-06-30 13:41:00+00",,10,0,0,50903,3005628.87
"2019-06-30 13:40:00+00",,13,0,0,50903,3005628.87
"2019-06-30 13:39:00+00",,10,0,0,50903,3005628.87
"2019-06-30 13:38:00+00",,10,0,0,50903,3005628.87
"2019-06-30 13:37:00+00",,21,0,0,50903,3005628.87
"2019-06-30 13:36:00+00",,9,0,0,50903,3005628.87
"2019-06-30 13:35:00+00",,16,0,0,50903,3005628.87
"2019-06-30 13:34:00+00",,9,0,0,50903,3005628.87
"2019-06-30 13:33:00+00",,11,0,0,50903,3005628.87
"2019-06-30 13:32:00+00",,13,0,0,50903,3005628.87
"2019-06-30 13:31:00+00",,4,0,0,50903,3005628.87
"2019-06-30 13:30:00+00",,10,0,0,50903,3005628.87
"2019-06-30 13:29:00+00",,9,0,0,50903,3005628.87
"2019-06-30 13:28:00+00",,8,0,0,50903,3005628.87
"2019-06-30 13:27:00+00",,11,0,0,50902,3005578.87
"2019-06-30 13:26:00+00",,6,0,0,50902,3005578.87
"2019-06-30 13:25:00+00",,14,0,0,50902,3005578.87
"2019-06-30 13:24:00+00",,12,0,0,50902,3005578.87
"2019-06-30 13:23:00+00",,14,0,0,50902,3005578.87
"2019-06-30 13:22:00+00",,11,0,0,50902,3005578.87
"2019-06-30 13:21:00+00",,7,0,0,50902,3005578.87
"2019-06-30 13:20:00+00",,18,0,0,50902,3005578.87
"2019-06-30 13:19:00+00",,11,0,0,50902,3005578.87
"2019-06-30 13:18:00+00",,10,0,0,50902,3005578.87
