"name","category","start_time","duration","runners","host","id"
"Battletoads (Game Boy)","any% — Game Boy","2020-01-07 19:33:00","00:11:18","WizWarioo","PurpleGhostKasper",24182
"Mushihime-sama Futari 1.01","Ultra — Xbox 360","2020-01-08 23:13:00","00:44:11","gusto","Prolix",24341
"Mega Man 3: The Robots are Revolting","Any% — PC","2020-01-09 13:30:00","00:18:37","Lizstar","YoBGS",24355
"Normy's Beach Babe-O-Rama","beat the game — Genesis","2020-01-09 14:46:00","00:16:18","cook","YoBGS",24358
"Resident Evil 4","New Game Pro — PC","2020-01-09 18:16:00","01:33:40","MikeWave","ZoeVermilion",85
"The Last of Us: Left Behind","Any% PS4 — PS4","2020-01-09 20:03:00","00:05:33","AnthonyCaliber","ZoeVermilion",86
"Jak 2","Any% Race — Playstation 2","2020-01-09 20:21:00","01:06:34","headstrong1290, sickynar","Sooraya",87
"Marvel's Spider-Man","The Heist Any% — PS4","2020-01-09 21:44:00","00:40:20","Pessilist","Sooraya",88
"Earth Defense Force 5","DLC Mission Pack 1, Fencer Class, Hard Difficulty One-handed — PC","2020-01-09 22:39:00","00:48:48","halfcoordinated","Mr. Game and Shout",89
"Devil May Cry 5","New Game Human — PC","2020-01-09 23:43:00","01:34:34","DECosmic","AnEternalEnigma",90
"Final Fantasy VI","Any% New Game + — SNES","2020-01-10 01:41:00","00:23:07","Neerrm","YellowKillerBee",103299
"Destiny 2","Last Wish - All Encounters — PC","2020-01-10 02:39:00","00:30:24","Shockwve, ThePackle, Milkman, Tokeegee, Traderkirk, Alexy Sinclair","Prolix",92
"Fire Emblem: Three Houses","House Bid War — Switch","2020-01-10 03:27:00","01:33:43","Claris","Chris From Florida",93
"BioShock","Any% — PC","2020-01-10 05:20:00","00:49:59","bloodthunder","CovertMuffin",94
"Wolfenstein: Youngblood","Any% Co-op — PC","2020-01-10 06:26:00","00:56:50","TheFuncannon, Bryonato","Prolix",95
"Subnautica","any% — PC","2020-01-10 07:36:00","00:56:41","salvner","SporadicErratic",96
"The Sun And Moon","Any% — PC","2020-01-10 08:43:00","00:15:20","Gyoo","SmoothOperative",97
"140","Any% — PC","2020-01-10 09:10:00","00:17:55","v_input_output","SmoothOperative",98
"Squidlit","All Bosses — PC","2020-01-10 09:39:00","00:09:51","nucular","KrunchyLex",99
"Action Henk","All Levels — PC","2020-01-10 09:56:00","00:29:06","badBlackShark","KrunchyLex",100
"Super Fancy Pants Adventure","Any% NG+ — PC","2020-01-10 10:32:00","00:21:46","EyeOf_Newt","KrunchyLex",101
"Vampire: The Masquerade - Bloodlines","Any% Nosferatu — PC","2020-01-10 11:08:00","00:42:48","Valvinraim","AnEternalEnigma",102
"Gato Roboto","Any% - Unrestricted — PC","2020-01-10 12:12:00","00:23:16","RiskyCB, SNeaky, shedd","fir_",103
"Darkened Skye","Taste the Rainbow — PC","2020-01-10 12:49:00","00:47:16","Lizstar","fir_",104
"Touhou Luna Nights","Reverse Boss Order — PC","2020-01-10 13:50:00","00:34:28","Sean_A","fir_",105
"VVVVVV","Glitchless 100% — PC","2020-01-10 14:33:00","00:21:03","mohoc","fir_",113388
"Celeste","Farewell — PC","2020-01-10 15:14:00","00:20:35","flarebear","iggyzig",107
"PAC-MAN Championship Edition DX+","All Time Trials (+DLC) — PC","2020-01-10 15:46:00","00:37:18","teapartycthulu","LT_Humphrey",108
